tamanho_dataset,seed,tamanho_tabela,tipo,tempo_insercao_ms,tempo_busca_ms,colisoes_insercao,colisoes_busca,top3_lista1,top3_lista2,top3_lista3,gap_min,gap_max,gap_med
100000,123,10000,Duplo,6117.693,3055.497,910081833,910080644,0,0,0,1,1,1.00
100000,123,10000,Quadratico,4194.088,5090.341,910073017,910071760,0,0,0,1,1,1.00
100000,123,10000,Encadeado,8.699,12.355,90948,450000,13,12,12,1,1,1.00
100000,123,100000,Duplo,429.401,343.109,106235156,106234141,0,0,0,1,1,1.00
100000,123,100000,Quadratico,343.574,340.233,101166579,101165568,0,0,0,1,1,1.00
100000,123,100000,Encadeado,1.041,0.637,1000,0,2,2,2,1,1,1.00
100000,123,1000000,Duplo,7.471,1.969,2178,1176,0,0,0,1,688,1.98
100000,123,1000000,Quadratico,7.173,4.169,288706,287695,0,0,0,1,119,1.01
100000,123,1000000,Encadeado,11.746,3.027,1000,0,2,2,2,1,1,1.00
1000000,456,10000,Duplo,57059.404,47454.087,1409940439,1310263295,0,0,0,1,1,1.00
1000000,456,10000,Quadratico,53462.347,46844.860,1409977982,1310211909,0,0,0,1,1,1.00
1000000,456,10000,Encadeado,78.243,804.777,996359,49500000,106,106,106,1,1,1.00
1000000,456,100000,Duplo,476525.245,469343.096,807301414,807289663,0,0,0,1,1,1.00
1000000,456,100000,Quadratico,512643.174,455862.718,806786435,806774013,0,0,0,1,1,1.00
1000000,456,100000,Encadeado,52.550,105.283,909526,4500000,13,13,13,1,1,1.00
1000000,456,1000000,Duplo,52478.713,54881.190,1455008758,1454998604,0,0,0,1,1,1.00
1000000,456,1000000,Quadratico,56782.766,52338.554,1418502822,1418492714,0,0,0,1,1,1.00
1000000,456,1000000,Encadeado,72.488,19.151,10000,0,2,2,2,1,1,1.00
10000000,789,10000,Duplo,517880.629,485922.826,1215752192,1115825968,0,0,0,1,1,1.00
10000000,789,10000,Quadratico,513973.908,445647.127,1215752192,1115821519,0,0,0,1,1,1.00
10000000,789,10000,Encadeado,759.602,118364.983,10000000,700032704,1024,1023,1022,1,1,1.00
10000000,789,100000,Duplo,4984799.307,4843258.974,-727677626,-2135858181,0,0,0,1,1,1.00
10000000,789,100000,Quadratico,4772987.650,4369015.659,-727786985,-2135472543,0,0,0,1,1,1.00
10000000,789,100000,Encadeado,457.695,6893.985,9963410,495000000,108,107,107,1,1,1.00
10000000,789,1000000,Duplo,13782394.274,10958213.842,15584236000.0,14102675000.0,0.0,0.0,0.0,1.0,1.2,1.1
10000000,789,1000000,Quadratico,11639274.981,8649391.207,15345719000.0,13911458000.0,0.0,0.0,0.0,1.0,1.1,1.05
10000000,789,1000000,Encadeado,93258.447,1978831.544,97000000.0,6780000000.0,9750.0,9720.0,9710.0,1.0,1.0,1.0
